Point,Fokontany,Commune,District,Region
Mandontoha 10 V,Ambongabe,Mandialaza,Moramanga,Alaotra Mangoro
Mandosaomby 10 C,Madosomby,Marohazo,Maintirano,Melaky
Mandotokely 10 C,Tsaramody,Mandoto,Mandoto,Vakinankaratra
Mandotomana 10 B,Manditonana,Saharefo,Manakara Atsimo,Vatovavy Fitovinany
Mandova 10 A,Amparihimboahangy,Inanantonana,Betafo,Vakinankaratra
Mandrabary 10 D,Tananomby,Iarintsena,Ambalavao,Haute Matsiatra
Mandrahona 10 E,Analovana,Fanambana,Vohemar,Sava
Mandraijato 10 A,Fenoarivo,Ambohitrambo,Arivonimamo,Itasy
Mandraka 10 B,Mandraka,Ambatolaona,Manjakandriana,Analamanga
Mandraka 11 D,Anjahamarina,Toamasina Suburbaine,Toamasina II,Atsinanana
Mandramba 10 B,Mandramba,Ankazoabo Sud,Ankazoabo,Atsimo Andrefana
Mandrangotra 15 F,Mandrangotra,Marojala,Sambava,Sava
Mandrangotra 16 F,Mandrangotra,Marojala,Sambava,Sava
Mandranivatsy E 10,Mandanivatsy,Nosy Varika,Nosy-Varika,Vatovavy Fitovinany
Mandrankeniheny 10 E,Andranomasina,Ambatomanjaka,Miarinarivo,Itasy
Mandranofotsy 10 B,Ambohimana,Vohitsaoka,Ambalavao,Haute Matsiatra
Mandranomay 10 C,Ambatovory,Antsindra,Ifanadiana,Vatovavy Fitovinany
Mandraodrano 10 F,Tsiloakarivo,Mahatsinjo,Vondrozo,Atsimo Atsinanana
Mandraondrano 10 B,Ambalavato Antevato,Ambalavato Antevato,Farafangana,Atsimo Atsinanana
Mandrara 10 B,Ambohitrandraina,Ambohimandry,Arivonimamo,Itasy
Mandraraheloka 10 C,Besoa,Besoa,Ambalavao,Haute Matsiatra
Mandrarahody Nord 10 B,Ambohinaorina,Kiangara,Ankazobe,Analamanga
Mandrarahody Sud 10 B,Mandrarahody,Kiangara,Ankazobe,Analamanga
Mandrarahosy 10 A,Sabotsy Antongona,Morarano,Arivonimamo,Itasy
Mandrarivo 10 C,Ambohidraisolo,Merikanjaka,Manjakandriana,Analamanga
Mandrarivo 11 D,Miandrarivo I,Firavahana,Fenoarivobe,Bongolava
Mandratikely 10 C,Antsitabe,Andriba,Maevatanana,Betsiboka
Mandratromby 10 C,Mahazoarivo,Ambatomifanongoa,Ambatofinandrahana,Amoron I Mania
Mandratsery 10 G,Sabotsy Itomboana,Isorana,Isandra,Haute Matsiatra
Mandraty 10 G,Ampandrianakanga,Antsiafabositra,Maevatanana,Betsiboka
Mandrava 10 B,Mananjara,Alatsinainy Ibity,Antsirabe II,Vakinankaratra
Mandravonondry 10 B,Andranomandevy,Befotaka,Mahabo,Menabe
Mandraza 10 D,Mandrosoa,Ambohimandry,Arivonimamo,Itasy
Mandremba 10 D,Ambohipihaonana,Nasandratrony,Isandra,Haute Matsiatra
Mandresy 10 A,Mandrisy,Antanambe,Mananara-Avaratra,Analanjirofo
Mandrevo 10 B,Besofina,Betsimisotra,Fandriana,Amoron I Mania
Mandrevo 11 C,Ambodikily,Fanandrana,Toamasina II,Atsinanana
Mandrevo 12 D,Mandrevo,Analavory,Miarinarivo,Itasy
Mandrevo Est 10 V,Ambodivona,Andriambilany,Ambatolampy,Vakinankaratra
Mandrevo Ouest 10 D,Ambodivona,Andriambilany,Ambatolampy,Vakinankaratra
Mandrevomby 10 C,Mandrevomby,Belitsaky,Maintirano,Melaky
Mandriakeniheny 10 B,Fananana Ambositrakely,Ampatana Mandriankeniheny,Antsirabe I,Vakinankaratra
Mandriamana 10 B,Ambatoharananakely,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Mandriambero 10 B,Soavina,Ilaka Centre,Ambositra,Amoron I Mania
Mandriambero 11 D,Mandriambero,Talatamaty,Ambohidratrimo,Analamanga
Mandriampasy Nord 10 C,Mandrapasy Centre,Sampona,Amboasary-Atsimo,Anosy
Mandriampasy Sud 10 B,Mandrapasy Amborignabo,Sampona,Amboasary-Atsimo,Anosy
Mandriampotsy 10 B,Mandriapotsy,Androrangavola,Ifanadiana,Vatovavy Fitovinany
Mandriandry 10 A,Mandriandry,Tolongoina,Ikongo,Vatovavy Fitovinany
Mandrianjamara 10 V,Ivoainana,Tsarasaotra,Ambositra,Amoron I Mania
Mandriavondry 10 A,Ambohimanjaka,Sahatsiho Ambohimanjaka,Ambositra,Amoron I Mania
Mandriazaza 10 B,Ampamoha,Ambongamarina,Anjozorobe,Analamanga
Mandrifafana 10 C,Ambalahorona,Mangarivotra,Moramanga,Alaotra Mangoro
Mandrifaizany 10 C,Ambohitraivo,Ambohitrandriamanitra,Manjakandriana,Analamanga
Mandrifatsiky A 10,Ampanihy,Iakora,Iakora,Ihorombe
Mandrikiana 10 B,Antanambao,Mariarano,Mahajanga II,Boeny
Mandrimady 10 E,Vinanitelo Centre,Vinanitelo,Vohibato,Haute Matsiatra
Mandrimandria 10 D,Mandrimandria,Maevaranohely,Port-Berge (Boriziny-Vaovao),Sofia
Mandrindrina 10 C,Lovasoanirina,Iavonomby Vohibola,Isandra,Haute Matsiatra
Mandriony 10 A,Miarinarivo Sud,Marondry,Ankazobe,Analamanga
Mandrirano 10 D,Anja,Iarintsena,Ambalavao,Haute Matsiatra
Mandririkiriky 10 D,Maiakoho,Amporoforo,Farafangana,Atsimo Atsinanana
Mandririnina 10 B,Andohanatavy,Betsimisotra,Fandriana,Amoron I Mania
Mandritsandry 10 D,Miaramasoandro,Ambato,Ambohidratrimo,Analamanga
Mandritsara 10 A,Soamahamanina,Soamahamanina,Miarinarivo,Itasy
Mandritsara 10 V,Ambohijato,Mandritsara,Betafo,Vakinankaratra
Mandritsara 11 A,Andranomadio,Antanetibe,Anjozorobe,Analamanga
Mandritsara 11 V,Mandritsara,Imerina Imady,Ambositra,Amoron I Mania
Mandritsara 12 B,Antohobe,Antohobe,Betafo,Vakinankaratra
Mandritsara 13 B,Ambohidatsika,Manohisoa,Betafo,Vakinankaratra
Mandritsara 14 B,Antsoatany,Antsoatany,Antsirabe II,Vakinankaratra
Mandritsara 15 B,Mandritsara,Matanga,Vangaindrano,Atsimo Atsinanana
Mandritsara 16 B,Mandritsara,Anjepy,Manjakandriana,Analamanga
Mandritsara 17 B,Mandritsara,Vatana,Manakara Atsimo,Vatovavy Fitovinany
Mandritsara 18 C,Mandritsara Fiarahamiasa,Ambohibary,Antsirabe II,Vakinankaratra
Mandritsara 19 C,Ambohitrandriana Miray,Ambohibary,Antsirabe II,Vakinankaratra
Mandritsara 20 C,Ambohitsoa,Anosibe Trimoloharano,Andramasina,Analamanga
Mandritsara 21 E,Soavinandriana,Ambatomena,Manjakandriana,Analamanga
Mandritsara 22 B,Ambalateny,Ranomena,Vangaindrano,Atsimo Atsinanana
Mandritsara 23 B,Ambohimiadana,Ambohimiadana,Andramasina,Analamanga
Mandritsara I 10 A,Analamarina,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Mandritsara II 10 A,Analamarina,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Mandritsara III 11 A,Analamarina,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Mandritsra 10 B,Fanameana,Vohimarina,Vohibato,Haute Matsiatra
Mandrizato 10 A,Ambohimahazo,Sandrandahy,Fandriana,Amoron I Mania
Mandroalina 10 A,Mandroalina,Ambohimanga Du Sud,Ifanadiana,Vatovavy Fitovinany
Mandroalina 11 B,Mandroalina,Ambohimilanja,Marolambo,Atsinanana
Mandroalina 12 B,Kianjavato,Antsindra,Ifanadiana,Vatovavy Fitovinany
Mandroalina 13 B,Mandroalina,Ambodiharina,Mahanoro,Atsinanana
Mandroalina 14 F,Mandroalina,Amboasary,Marolambo,Atsinanana
Mandroalina 15 A,Mandroalina,Vatohandrina,Mananjary,Vatovavy Fitovinany
Mandroatra 10 B,Mandroatsy,Beroboka Nord,Belo Sur Tsiribihina,Menabe
Mandroatsy 10 C,Mandroatsy Bara,Andrea,Maintirano,Melaky
Mandrobe 10 C,Mandribe,Manakana,Tsaratanana,Betsiboka
Mandroharea 10 A,Ambondrobe,Fenoarivo,Ambalavao,Haute Matsiatra
Mandrohavia 10 C,Somangana,Ambovombe Centre,Manandriana,Amoron I Mania
Mandrohimanga 10 E,Maharivo,Mangataboahangy,Ambatofinandrahana,Amoron I Mania
Mandrohimanga 11 E,Maharivo,Mangataboahangy,Ambatofinandrahana,Amoron I Mania
Mandrohovia 10 C,Vinany,Ambatofinandrahana,Ambatofinandrahana,Amoron I Mania
Mandromodromotra 10 D,Mahialambo,Mahatalaky,Taolagnaro,Anosy
Mandrondra 10 A,Ankaramalaza,Vatana,Manakara Atsimo,Vatovavy Fitovinany
Mandrondra 11 B,Ankaramalaza,Vatana,Manakara Atsimo,Vatovavy Fitovinany
Mandrony 10 C,Lanamena,Ambolobozo,Analalava,Sofia
Mandroroa 10 B,Kandrany,Bemaharivo,Marovoay,Boeny
Mandrorohabe 10 B,Antranofotaka,Ankingameloka,Ambanja,Diana
Mandroromody 10 A,Ambatoseza,Vohitrandriana,Nosy-Varika,Vatovavy Fitovinany
Mandroromody 11 C,Mandroromody,Morafeno,Mananjary,Vatovavy Fitovinany
Mandroromody II 12 F,Mandroromody II,Vohitrandriana,Nosy-Varika,Vatovavy Fitovinany
Mandroso 10 B,Vohitrarivo,Vohitrarivo,Ambohimahasoa,Haute Matsiatra
Mandroso 11 C,Mandrosoa,Ankazobe,Ankazobe,Analamanga
Mandroso 12 D,Mandrosoa,Kiranomena,Fenoarivobe,Bongolava
Mandrosoa 10 A,Ambarivondrona,Amborompotsy,Ambatofinandrahana,Amoron I Mania
Mandrosoa 10 V,Ambohinaorina,Betafo,Betafo,Vakinankaratra
Mandrosoa 11 A,Aminampanga,Fenoarivo Centre,Fenoarivobe,Bongolava
Mandrosoa 11 V,Mandrosoa,Morarano,Arivonimamo,Itasy
Mandrosoa 12 A,Avaratriniavo,Ampefy,Soavinandriana,Itasy
Mandrosoa 12 V,Mandrosoa Ilafy,Ankadikely Ilafy,Antananarivo Avaradrano,Analamanga
Mandrosoa 13 A,Morafeno,Fidirana,Mandoto,Vakinankaratra
Mandrosoa 14 A,Ambatomanana,Avaratsena,Ambohidratrimo,Analamanga
Mandrosoa 15 B,Antanambao,Amborompotsy,Ambatofinandrahana,Amoron I Mania
Mandrosoa 16 B,Ambalafeno,Fidirana,Mandoto,Vakinankaratra
Mandrosoa 17 B,Antanety,Soavina,Betafo,Vakinankaratra
Mandrosoa 18 B,Ambohimanarina,Talata Angavo,Ankazobe,Analamanga
Mandrosoa 19 B,Mandrosoa,Firavahana,Fenoarivobe,Bongolava
Mandrosoa 20 B,Mandrosoa,Amboanana,Arivonimamo,Itasy
Mandrosoa 21 B,Ambohitrandriamanitra,Ambohitrandriamanitra,Manjakandriana,Analamanga
Mandrosoa 22 C,Ambohitrarivo Mahasoa,Vinaninony Atsimo,Faratsiho,Vakinankaratra
Mandrosoa 23 C,Tsaratanana,Vinaninkarena,Antsirabe II,Vakinankaratra
Mandrosoa 24 C,Soavina,Miantso,Ankazobe,Analamanga
Mandrosoa 25 D,Morafeno Mahatsinjo,Mandritsara,Betafo,Vakinankaratra
Mandrosoa 26 D,Ankonaka,Ambohipandrano,Arivonimamo,Itasy
Mandrosoa 27 E,Mandrosoa,Mandrosoa,Andramasina,Analamanga
Mandrosoa 28 F,Mandrosoa,Ambohimandry,Arivonimamo,Itasy
Mandrosoa 29 F,Ambalamanga,Ambohimandry,Arivonimamo,Itasy
Mandrosoa 30 G,Mandrosoa Ivato,Ivato Firaisana,Ambohidratrimo,Analamanga
Mandrosoa 31 H,Morarano Nord,Imerintsiatosika,Arivonimamo,Itasy
Mandrosoa 32 A,Bevao,Maliorano,Midongy-Atsimo,Atsimo Atsinanana
Mandrosoa 33 C,Beroroha,Ranomena,Vangaindrano,Atsimo Atsinanana
Mandrosoa 34 C,Mandrosoa,Ambongo,Vangaindrano,Atsimo Atsinanana
Mandrosoa Est 10 B,Fonoraty,Tsinjoarivo Imanga,Tsiroanomandidy,Bongolava
Mandrosoa Ouest 10 B,Fonoraty,Tsinjoarivo Imanga,Tsiroanomandidy,Bongolava
Mandrosoakely 10 B,Morarano,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Mandrosoarivo 10 B,Mandrosoarivo,Fierenana,Tsiroanomandidy,Bongolava
Mandrosoarivo 11 D,Ambohimalaza,Mahaiza,Betafo,Vakinankaratra
Mandrosoarivo 12 V,Antovotany Anjanamasy,Alakamisy Anativato,Betafo,Vakinankaratra
Mandrosoatsara 10 A,Matsondakana,Matsondakana,Befandriana Nord,Sofia
Mandrosohasina 10 D,Soanierana,Ambohimiarivo,Antsirabe II,Vakinankaratra
Mandrosohasina 11 V,Mandrosohasina,Mandrosohasina,Antsirabe II,Vakinankaratra
Mandrosomanana 10 A,Alarobia Bemaha,Alarobia Bemaha,Betafo,Vakinankaratra
Mandrosomanana 11 F,Ambohitsimanova,Ambohitsimanova,Antsirabe II,Vakinankaratra
Mandrosomiadana 10 A,Tanambe Mantsikena,Antsampandrano,Ambatolampy,Vakinankaratra
Mandrosomiadana 11 B,Mandrosomiadana,Andrafiabe,Antsiranana II,Diana
Mandrosonoro 10 A,Mandrosonoro,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava
Mandrosonoro 11 V,Mandrosonoro,Mandrosonoro,Ambatofinandrahana,Amoron I Mania
Mandrosovelona 10 B,Ambahivahikely,Anketrakabe,Antsiranana II,Diana
Mandrota 10 H,Mandrota,Andaingo,Moramanga,Alaotra Mangoro
Mandrovia 10 C,Lakandrano,Miarinavaratra,Fandriana,Amoron I Mania
Mandrozo 10 B,Ankalalo,Beravina,Morafenobe,Melaky
Manehoko 10 G,Antsatrana,Beramanja,Ambilobe,Diana
Manelivato 10 B,Nosibe,Andranopasy,Manja,Menabe
Manelotrony 10 B,Nosiala Centre,Anosiala,Manakara Atsimo,Vatovavy Fitovinany
Manemboarivo 10 A,Sahanimaitso,Ambalakindresy,Ambohimahasoa,Haute Matsiatra
Manendilahy 10 B,Vohimena,Mangataboahangy,Ambatofinandrahana,Amoron I Mania
Manendraka 10 B,Nanadreana,Ihazoara,Vohibato,Haute Matsiatra
Manendry 10 B,Vohitrarivo,Antambohobe,Ivohibe,Ihorombe
Manendy 10 C,Manendy,Ambohitompoina,Antanifotsy,Vakinankaratra
Manengarivo 10 B,Bekomanga,Soalala,Soalala,Boeny
Manenoakoho 10 A,Ampasitsiriry,Isahara,Vangaindrano,Atsimo Atsinanana
Manenogisy 10 C,Lovaela,Iara,Vangaindrano,Atsimo Atsinanana
Manenotity 10 C,Telorano,Ankazovelo,Midongy-Atsimo,Atsimo Atsinanana
Manenotsara 10 D,Janjina,Mandrosonoro,Ambatofinandrahana,Amoron I Mania
Manera 10 B,Manera,Androka,Ampanihy Ouest,Atsimo Andrefana
Manera 10 V,Manera Bara,Mahaboboka,Sakaraha,Atsimo Andrefana
Manera 11 B,Manera,Beampombo II,Betroka,Anosy
Manera 12 C,Manera,Beampombo II,Betroka,Anosy
Manera Soaserano 10 A,Soaserana Manera,Mahaboboka,Sakaraha,Atsimo Andrefana
Manerakely 10 B,Belamoty,Miary Lamatihy,Sakaraha,Atsimo Andrefana
Manerano 10 B,Mariarano,Ambinanitelo,Maroantsetra,Analanjirofo
Manerena 10 A,Andamaka,Iakora,Iakora,Ihorombe
Manerinerina 10 A,Antanambao Manerinerina,Mandoto,Mandoto,Vakinankaratra
Manerinerina 11 A,Manerinerina,Tsaramasoandro,Ankazobe,Analamanga
Manerinerina 11 B,Avaradrano,Antanimandry,Antsirabe II,Vakinankaratra
Manerinerina 12 B,Manerinerina,Ambolotarakely,Ankazobe,Analamanga
Manerinerina 13 C,Amboniriana,Analavory,Miarinarivo,Itasy
Manetivody 10 B,Antanamboro,Masianaka,Vangaindrano,Atsimo Atsinanana
Manetoanina 10 B,Antsangindrano,Ambatofinandrahana,Ambatofinandrahana,Amoron I Mania
Manetoha 10 E,Ankofika,Ambalavao,Ambalavao,Haute Matsiatra
Manetsavondro 10 C,Ambohimandroso,Mandialaza,Moramanga,Alaotra Mangoro
Manety 10 B,Ramainandro,Ramainandro,Faratsiho,Vakinankaratra
Maneva 10 B,Tsinjorano,Fiadanana,Ankazobe,Analamanga
Maneva 11 B,Maneva,Tsarasaotra,Ambositra,Amoron I Mania
Maneva 12 C,Vohitrindry,Vohitrindry,Vohipeno,Vatovavy Fitovinany
Maneva 13 D,Alakamisy Andrianovona,Manohisoa,Betafo,Vakinankaratra
Maneva 14 E,Bemasoandro,Dondona,Soavinandriana,Itasy
Maneva 15 E,Anjanamiakatra,Belazao,Antsirabe II,Vakinankaratra
Maneva 16 F,Matahitrony,Fiadanana,Ambohimahasoa,Haute Matsiatra
Manevakely 10 B,Ambohimanarina,Talata Angavo,Ankazobe,Analamanga
Manevalonaka 10 B,Tsiloakarivo,Mahasoa,Ihosy,Ihorombe
Manevina 10 E,Manevina,Mitanty,Manakara Atsimo,Vatovavy Fitovinany
Manevy 10 B,Amborobe,Etrotroka Atsimo,Farafangana,Atsimo Atsinanana
Manevy 11 D,Manevy,Mahabo,Betroka,Anosy
Manevy 12 F,Manevy,Manevy,Amboasary-Atsimo,Anosy
Mangabe 10 A,Ankorondrano,Analavory,Miarinarivo,Itasy
Mangabe 10 V,Mangabe,Andranoboka,Mahajanga II,Boeny
Mangabe 11 A,Ivolo,Antambohobe,Ivohibe,Ihorombe
Mangabe 11 V,Mangabe,Mangabe,Maevatanana,Betsiboka
Mangabe 12 A,Anosikely,Ambatomanoina,Anjozorobe,Analamanga
Mangabe 12 V,Mangabe,Maroantsetra,Maroantsetra,Analanjirofo
Mangabe 13 A,Ambatoharanana,Ambato,Ambohidratrimo,Analamanga
Mangabe 14 A,Sahambala,Sahambala,Toamasina II,Atsinanana
Mangabe 15 B,Bebaboka Sud,Bebaboky Sud,Maintirano,Melaky
Mangabe 16 B,Anjiamaloto,Soalala,Soalala,Boeny
Mangabe 17 B,Betsako,Betsako,Mahajanga II,Boeny
Mangabe 18 B,Andohady,Mahavelona,Soavinandriana,Itasy
Mangabe 19 B,Antsahavory,Manazary,Miarinarivo,Itasy
Mangabe 20 B,Mandritsara Fiarahamiasa,Ambohibary,Antsirabe II,Vakinankaratra
Mangabe 21 B,Ambatobe,Betrandraka,Tsaratanana,Betsiboka
Mangabe 22 B,Ambohimandroso,Sabotsy Anjiro,Moramanga,Alaotra Mangoro
Mangabe 23 B,Mangabe,Antanimenabaka,Andilamena,Alaotra Mangoro
Mangabe 24 B,Ampasika,Andaingo,Moramanga,Alaotra Mangoro
Mangabe 25 B,Ambodimanga,Ambohibary,Moramanga,Alaotra Mangoro
Mangabe 26 B,Mangabe,Fanasana,Brickaville,Atsinanana
Mangabe 27 B,Asindro,Ambohimanana,Brickaville,Atsinanana
Mangabe 28 B,Mangabe,Fanasana,Brickaville,Atsinanana
Mangabe 29 B,Vohilengo,Vavatenina,Vavatenina,Analanjirofo
Mangabe 30 C,Madiromileka,Soalala,Soalala,Boeny
Mangabe 31 C,Mangabe,Matsakabanja,Mitsinjo,Boeny
Mangabe 32 C,Antongomenabe,Antseza,Mitsinjo,Boeny
Mangabe 33 C,Mangabe,Antotohazo,Ankazobe,Analamanga
Mangabe 34 C,Ambaliha,Ankaramy,Analalava,Sofia
Mangabe 35 C,Mangabe,Ilafy,Ambatondrazaka,Alaotra Mangoro
Mangabe 36 C,Siranana,Beramanja,Ambilobe,Diana
Mangabe 37 C,Ampasimpotsy,Ambalavolo,Vatomandry,Atsinanana
Mangabe 38 C,Ambalatenina Avaratra,Fetraomby,Brickaville,Atsinanana
Mangabe 39 C,Isokatra,Mahatsara,Brickaville,Atsinanana
Mangabe 40 D,Mandritsara Fiarahamiasa,Ambohibary,Antsirabe II,Vakinankaratra
Mangabe 41 E,Mangabe,Morarano,Arivonimamo,Itasy
Mangabe 42 E,Manerinerina,Miantsoarivo,Arivonimamo,Itasy
Mangabe 43 E,Mangabe,Sabotsy Manjakavahoaka,Andramasina,Analamanga
Mangabe 44 E,Mangabe,Antranokarany,Ambanja,Diana
Mangabe 45 I,Ampanazava,Ambohibary,Manjakandriana,Analamanga
Mangabe 46 A,Vohidromba,Fotsialanana,Soanierana Ivongo,Analanjirofo
Mangabe Nord 10 D,Ambohimanjaka,Ambohidronono,Moramanga,Alaotra Mangoro
Mangabe Sud 10 G,Mangabe,Ambohidronono,Moramanga,Alaotra Mangoro
Mangabokeboka 10 B,Mangebokeboka,Antenina,Soanierana Ivongo,Analanjirofo
Mangabory 10 B,Belafika,Soalala,Soalala,Boeny
Mangafito 10 D,Befotoana,Marovoay,Marovoay,Boeny
Mangahika 10 D,Vohitsoa,Mahazony,Ambalavao,Haute Matsiatra
Mangaika 10 B,Ambatoharanana I,Ambohijanahary,Amparafaravola,Alaotra Mangoro
Mangaika 11 C,Laimandry,Iarintsena,Ambalavao,Haute Matsiatra
Mangaika 12 C,Andranovolo,Vohitrindry,Vohipeno,Vatovavy Fitovinany
Mangaika 13 C,Manjarivo,Vohimasina Nord,Manakara Atsimo,Vatovavy Fitovinany
Mangaika 14 D,Mangaika,Vohimasina Sud,Manakara Atsimo,Vatovavy Fitovinany
Mangaika 15 A,Mandrosoa,Ambongo,Vangaindrano,Atsimo Atsinanana
Mangaikantavo 10 B,Ankafotra,Ambato,Ambohidratrimo,Analamanga
Mangaikarea 10 C,Lapay,Antambohobe,Ivohibe,Ihorombe
Mangaikarea 11 D,Mangaikarea,Mahatsinjo,Vondrozo,Atsimo Atsinanana
Mangaiky 10 C,Mioridrano,Miadanandriana,Manjakandriana,Analamanga
Mangalahala 10 B,Andilanatoby,Andilanatoby,Ambatondrazaka,Alaotra Mangoro
Mangalahala 11 G,Mangalahala,Ambohitsilaozana,Ambatondrazaka,Alaotra Mangoro
Mangalahy 10 B,Ambohipeno,Sahamadio Fisakana,Fandriana,Amoron I Mania
Mangalamasy 10 B,Ambohimasoa,Ankarimbary,Vohipeno,Vatovavy Fitovinany
Mangalanihenatra 10 F,Ambiabe I,Ifanadiana,Ifanadiana,Vatovavy Fitovinany
Mangalasy 10 B,Tafaina,Miantso,Ankazobe,Analamanga
Mangalava 10 D,Ambatolahinandriamanalina,Fanjakana,Isandra,Haute Matsiatra
Mangalaza 10 B,Andraikiba,Antsenakely Andraikiba,Antsirabe I,Vakinankaratra
Mangalaza 11 B,Ambohimahazo,Antsampandrano,Antanifotsy,Vakinankaratra
Mangalaza 12 E,Begoavy,Feramanga Nord,Ambatondrazaka,Alaotra Mangoro
Mangalimaso 10 A,Matsaboribe,Ankiabe-Salohy,Mandritsara,Sofia
Mangalimaso 11 C,Vohilava,Sainte Marie,Sainte Marie,Analanjirofo
Mangamasoandro 10 C,Anjanamanjaka Ambohitraivo,Vinaninkarena,Antsirabe II,Vakinankaratra
Mangamirafy 10 D,Mangamirafy,Manja,Manja,Menabe
Mangamonga 10 B,Ambatobevomanga,Anosinalainolona,Marovoay,Boeny
Manganakaraka 10 A,Befe,Ankavandra,Miandrivazo,Menabe
Mangankana 10 B,Mangankana,Ambolidibe Est,Befandriana Nord,Sofia
Manganoro 10 E,Manganoro,Maevatanana II,Maevatanana,Betsiboka
Mangaoka 10 V,Mangaoka,Marovantaza,Analalava,Sofia
Mangapaika 10 F,Mangapaika,Antanambao Andranolava,Marovoay,Boeny
Mangarakaraka 10 D,Tanamarina,Tanamarina Sakay,Ikalamavony,Haute Matsiatra
Mangarana A 10,Betoko II,Mahela,Antanambao Manampontsy,Atsinanana
Mangarano 10 A,Antotohazo,Antotohazo,Ankazobe,Analamanga
Mangarano 11 A,Savidahy,Morafeno,Arivonimamo,Itasy
Mangarano 12 A,Andranomiantra,Ambohibary Vohilena,Anjozorobe,Analamanga
Mangarano 13 A,Avarabohitra,Anosiala,Ambohidratrimo,Analamanga
Mangarano 14 A,Andohala,Betatao,Anjozorobe,Analamanga
Mangarano 15 B,Mandarano,Satrokala,Ihosy,Ihorombe
Mangarano 16 B,Soavina,Soavina,Betafo,Vakinankaratra
Mangarano 17 B,Maropapelika,Manazary,Miarinarivo,Itasy
Mangarano 18 B,Maroadabokely,Brieville,Tsaratanana,Betsiboka
Mangarano 19 B,Moratsiazo,Andaingo,Moramanga,Alaotra Mangoro
Mangarano 20 C,Vinanisoa,Ambohimanambola,Betafo,Vakinankaratra
Mangarano 21 C,Irindravato,Tsaramasoandro,Ankazobe,Analamanga
Mangarano 22 C,Ambohitrampovoany,Ankazobe,Ankazobe,Analamanga
Mangarano 23 C,Tsiaverindoa,Mahavelona,Ankazobe,Analamanga
Mangarano 24 C,Anandrobe,Bejofo,Ambatondrazaka,Alaotra Mangoro
Mangarano 25 E,Tsaramody,Ambohidranandriana,Antsirabe II,Vakinankaratra
Mangarano 26 F,Anerindrano,Alarobia,Manjakandriana,Analamanga
Mangarano 27 V,Mangarano,Mangarano,Antsirabe II,Vakinankaratra
Mangarano 28 V,Antovontany,Mandrosoa,Andramasina,Analamanga
Mangarano 29 B,Lavakianja,Vohilava,Mananjary,Vatovavy Fitovinany
Mangarano-Morafeno 10 B,Ambohidava,Amboasary,Moramanga,Alaotra Mangoro
Mangarany 10 D,Amboniriana,Ambatomirahavavy,Arivonimamo,Itasy
Mangarapasy 10 B,Amboromaneno,Antananabo,Vohipeno,Vatovavy Fitovinany
Mangaratsy 10 A,Antsily,Ambohibary,Moramanga,Alaotra Mangoro
Mangarivo 10 B,Manarintsoa,Ambalanirana,Tsiroanomandidy,Bongolava
Mangarivo 11 G,Soamahatamana,Tsinjoarivo Imanga,Tsiroanomandidy,Bongolava
Mangarivotra 10 A,Andraketa,Manambina,Miandrivazo,Menabe
Mangarivotra 11 A,Unknown Name,Tsiroanomandidy Fihaonana,Tsiroanomandidy,Bongolava
Mangarivotra 12 A,Mahavanona,Avaratsena,Ambohidratrimo,Analamanga
Mangarivotra 13 A,Antanifotsy,Ambongamarina,Anjozorobe,Analamanga
Mangarivotra 14 A,Andranomalaza,Sadabe,Manjakandriana,Analamanga
Mangarivotra 15 B,Bembary,Andaingo,Moramanga,Alaotra Mangoro
Mangarivotra 16 B,Ankokalava,Mandialaza,Moramanga,Alaotra Mangoro
Mangarivotra 17 C,Antanetibe,Beronono,Anjozorobe,Analamanga
Mangarivotra 18 C,Mangarivotra Baiboka,Marotsipoy,Anjozorobe,Analamanga
Mangarivotra 19 C,Analaroa,Analaroa,Anjozorobe,Analamanga
Mangarivotra 20 C,Ankisaka,Antanimenabaka,Andilamena,Alaotra Mangoro
Mangarivotra 21 D,Ilafy,Ilafy,Ambatondrazaka,Alaotra Mangoro
Mangarivotra 22 F,Tanambe Avaradrano,Tanambe,Amparafaravola,Alaotra Mangoro
Mangarivotra 23 F,Ankorohoro,Ambolotarakely,Ankazobe,Analamanga
Mangaroa 10 C,Mangaroa,Ankijabe,Ambato Boeni,Boeny
Mangasoavina 10 A,Morafeno,Morafeno,Arivonimamo,Itasy
Mangasoavina 11 B,Antanetibe,Analavory,Miarinarivo,Itasy
Mangasoavina 12 C,Mangasoavina,Andriba,Maevatanana,Betsiboka
Mangasoavina 13 C,Betafo,Arivonimamo II,Arivonimamo,Itasy
Mangasoavina 14 E,Mangasoavina,Talata Angavo,Ankazobe,Analamanga
Mangataboahangy 10 F,Mangataboahangy,Mangataboahangy,Ambatofinandrahana,Amoron I Mania
Mangatamahasoa 10 B,Ambatomitovona,Ambodimanga,Amparafaravola,Alaotra Mangoro
Mangatany 10 C,Mangatany,Firavahana,Fenoarivobe,Bongolava
Mangatany 11 E,Mangatany Avaratra,Sadabe,Manjakandriana,Analamanga
Mangatany 12 E,Mangatany Atsimo,Sadabe,Manjakandriana,Analamanga
