Point,Fokontany,Commune,District,Region
Anjoma - Faliarivo C 10,Anjoma Faliarivo,Alatsinainy Bakaro,Andramasina,Analamanga
Anjoma - Ramartina 10 V,Anjoma Ramartina,Anjoma Ramartina,Mandoto,Vakinankaratra
Anjoma 10 A,Besoa,Besoa,Ambalavao,Haute Matsiatra
Anjoma 11 A,Benangana,Anjoma Itsara,Isandra,Haute Matsiatra
Anjoma 12 B,Ankerambe,Mandrosonoro,Ambatofinandrahana,Amoron I Mania
Anjoma 13 B,Soaloka,Firavahana,Fenoarivobe,Bongolava
Anjoma 14 B,Hiambanony,Andranomafana,Betafo,Vakinankaratra
Anjoma 15 B,Vohitrarivo,Vohitrarivo,Ambohimahasoa,Haute Matsiatra
Anjoma 16 B,Manarinony,Tsarasaotra,Ambositra,Amoron I Mania
Anjoma 17 B,Nandriana,Sandrandahy,Fandriana,Amoron I Mania
Anjoma 18 C,Ambohimandroso,Ambohipo,Manandriana,Amoron I Mania
Anjoma 19 C,Ambatomifanongoa,Mahasoabe,Vohibato,Haute Matsiatra
Anjoma 20 C,Bevahona,Antsampandrano,Antanifotsy,Vakinankaratra
